Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
134636805,Update Bus Schedule,manage schedule,3,"Dec 12, 2016","Dec 25, 2016",feature,1,accepted,"Nov 19, 2016","Dec 25, 2016",,Chong Zhan Yi,"As a staff, I can update the bus schedule information so that if the driver cannot drive within the duration, he can change the driver for the schedule.",https://www.pivotaltracker.com/story/show/134636805,KleistChia,Chong Zhan Yi,,Plan the user interface,completed,Code the user interface,completed,Connect to database,completed,"Code the function classes (domain, control, data access, driver)",completed,Test the function,completed
134634791,User Login,login,3,"Dec 12, 2016","Dec 25, 2016",feature,3,accepted,"Nov 19, 2016","Dec 25, 2016",,Km Cho,"As a staff, I can login into the systems so that I can access into the system and perform my task.",https://www.pivotaltracker.com/story/show/134634791,Km Cho,Chong Zhan Yi,KleistChia,Plan the user interface,completed,Code the user interface,completed,Connect to database,completed,"Code the function classes (domain, control, data access, driver)",completed,Test the function,completed
135910953,Management Login,login,3,"Dec 12, 2016","Dec 25, 2016",feature,1,accepted,"Dec 11, 2016","Dec 25, 2016",,Chong Jin Hui,"As a manager, I can login at the management login page so that I can access to the management control of the system. ",https://www.pivotaltracker.com/story/show/135910953,Chong Zhan Yi,KleistChia,Km Cho,Plan the user interface,completed,Code the user interface,completed,Connect to database,completed,"Code the function classes (domain, control, data access, driver)",completed,Test the function,completed
134652277,Create Staff Account,manage staff,3,"Dec 12, 2016","Dec 25, 2016",feature,2,accepted,"Nov 20, 2016","Dec 25, 2016",,KleistChia,"As a manager, I can create new staff account so that the new staff can access to the system",https://www.pivotaltracker.com/story/show/134652277,Chong Zhan Yi,KleistChia,Km Cho,Plan the user interface,completed,Code the user interface,completed,Connect to database,completed,"Code the function classes (domain, control, data access, driver)",completed,Test the function,completed
134652293,Update Staff Account,manage staff,3,"Dec 12, 2016","Dec 25, 2016",feature,1,accepted,"Nov 20, 2016","Dec 25, 2016",,KleistChia,"As a manager, I can update staff account information so that the staff information is always up-to-date
",https://www.pivotaltracker.com/story/show/134652293,Chong Zhan Yi,KleistChia,Km Cho,Plan the user interface,completed,Code the user interface,completed,Connect to database,completed,"Code the function classes (domain, control, data access, driver)",completed,Test the function,completed
135910629,View Staff Account,manage staff,3,"Dec 12, 2016","Dec 25, 2016",feature,1,accepted,"Dec 11, 2016","Dec 25, 2016",,Chong Kah Hou,"As a manager, I can view staff account information so that I can search for staff account when it is needed.",https://www.pivotaltracker.com/story/show/135910629,Chong Jin Hui,Km Cho,Chong Zhan Yi,Plan the user interface,completed,Code the user interface,completed,Connect to database,completed,"Code the function classes (domain, control, data access, driver)",completed,Test the function,completed
135910579,Generate Summary Report,reporting,4,"Dec 26, 2016","Jan 8, 2017",feature,2,unstarted,"Dec 11, 2016",,,Chong Jin Hui,"As a staff, I can generate summary report so that I can know how many ticket is booked monthly.",https://www.pivotaltracker.com/story/show/135910579,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
134652209,Generate Exception Report,reporting,4,"Dec 26, 2016","Jan 8, 2017",feature,1,unstarted,"Nov 20, 2016",,,Chong Jin Hui,"As a staff, I can generate exception report so that I can know how many ticket is cancelled monthly.",https://www.pivotaltracker.com/story/show/134652209,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
134652173,Generate Transaction Report,reporting,4,"Dec 26, 2016","Jan 8, 2017",feature,2,unstarted,"Nov 20, 2016",,,Chong Jin Hui,"As a staff, I can generate transaction report so that I can know the daily and monthly transaction
",https://www.pivotaltracker.com/story/show/134652173,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
134633497,Generate Ticket,"counter staff, payment",4,"Dec 26, 2016","Jan 8, 2017",feature,2,unstarted,"Nov 19, 2016",,,KleistChia,"As a counter staff, I can generate tickets for customers so that they have a pass for their ride.
",https://www.pivotaltracker.com/story/show/134633497,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
